Subj,zygosity,Age,FE,Update_all,exp_all,fam_all,viv_all,neg_all,EEAll,learning_all,subjectivelearning,N_Correct_perc,Subj,FE,Gender,Age.Gender
54691,DZ,58,37.675,17.7,1.4,3.4,5.75,4.1,22.175,0.229806106,0.59819827,7.5,54691,37.675,1,58
54692,DZ,58,42.175,15.05,1.2,2.8,3.25,5.05,17.075,0.738970847,0.77170594,2.5,54692,42.175,1,58
54811,MZ,63,38.5,6.65,2.15,4.7,5.35,5.85,22.55,0.251710608,0.379502001,5,54811,38.5,1,63
54812,MZ,63,46.3,16.375,2,3.35,4.5,3.9,20.1,0.607795905,0.738848679,2.5,54812,46.3,1,63
54881,DZ,59,29.8,1.8,1.8,5.25,4.05,5.6,18.85,-0.039406497,-0.133019761,0,54881,29.8,1,59
54882,DZ,59,35.025,1.4,1.35,3.55,2.4,5.65,14.775,0.031168337,0.742419957,5,54882,35.025,1,59
55231,DZ,59,33.125,7.225,1.7,2.8,3.6,4.85,25.775,0.028789614,0.405824074,0,55231,33.125,1,59
55232,DZ,59,29.35,5.125,1.4,3.65,4.75,3.85,22.55,-0.075302967,0.05760997,2.5,55232,29.35,1,59
55411,DZ,65,32.65,12.875,1.3,3.3,3.9,4.5,15.15,0.758777033,0.864412752,5,55411,32.65,2,130
55412,DZ,65,32.5,-5.25,1.6,1.95,2.55,4.45,13.1,-0.002149368,0.181787326,0,55412,32.5,2,130
55911,DZ,66,41.475,2.075,2.3,2.55,3.75,2.05,21.875,0.359135681,0.427031083,0,55911,41.475,1,66
55912,DZ,66,38.7,18.825,1.2,2.15,4.75,1.25,20.95,0.731744773,0.657744459,2.5,55912,38.7,1,66
57511,MZ,48,25.925,4.85,1.65,3,5.6,3.7,26.425,-0.244464319,-0.018621654,7.5,57511,25.925,1,48
57512,MZ,48,30.225,7.675,1.4,2.75,4.3,3.8,20.575,0.162278595,0.087776467,10,57512,30.225,1,48
57841,MZ,69,31.125,3.425,1.95,3.05,3.35,3.2,18.475,0.274247125,0.499721121,0,57841,31.125,1,69
57842,MZ,69,19.075,1.85,1.6,2.4,2.4,4.85,26.625,-0.017757785,0.303149941,2.5,57842,19.075,1,69
57851,MZ,49,37.75,11.95,1.95,3.2,3.4,2.95,14.25,0.852617746,0.834695704,10,57851,37.75,2,98
57852,MZ,49,37.975,5.675,2.15,2.8,3.35,3.95,17.375,0.238645368,-0.019586788,5,57852,37.975,2,98
58301,DZ,54,39.175,3.225,2.45,3.85,3.45,4.2,23.825,0.004290132,0.089554961,5,58301,39.175,1,54
58302,DZ,54,39.825,9.45,3,4.2,4.25,3.3,18.125,0.738389965,0.519010849,7.5,58302,39.825,1,54
58701,DZ,74,11.725,-0.9,1.85,4.05,3.9,2.2,29.975,0.162280932,0.505911718,0,58701,11.725,2,148
58702,DZ,74,13.375,-0.5,1.2,1.3,1.9,5.45,27.475,0.082640947,0.687364539,0,58702,13.375,2,148
58801,DZ,63,22.5,3.75,1.4,4,5.45,4.45,22.8,0.276788128,0.272151838,5,58801,22.5,2,126
